name,link,compensation,min,max,currency
Team Lead команды разработки (Python),https://hh.ru/vacancy/46620298?from=vacancy_search_result&query=python,,,,
Python developer,https://hh.ru/vacancy/46523384?from=vacancy_search_result&query=python,,,,
Backend-разработчик Python,https://hh.ru/vacancy/45434650?from=vacancy_search_result&query=python,от 120000 руб.,120000,,руб.
Python Developer (Partners),https://hh.ru/vacancy/46631801?from=vacancy_search_result&query=python,,,,
Python developer,https://hh.ru/vacancy/46592744?from=vacancy_search_result&query=python,,,,
Middle Backend разработчик (Python),https://hh.ru/vacancy/46166950?from=vacancy_search_result&query=python,от 160000 руб.,160000,,руб.
Аналитик данных / Data scientist,https://hh.ru/vacancy/46639991?from=vacancy_search_result&query=python,,,,
Data Engineer / Разработчик,https://hh.ru/vacancy/46584432?from=vacancy_search_result&query=python,,,,
Разработчик Python (Django/Flask),https://hh.ru/vacancy/46575862?from=vacancy_search_result&query=python,150000 – 220000 руб.,150000,220000,руб.
Разработчик Python / Django,https://hh.ru/vacancy/46170713?from=vacancy_search_result&query=python,от 80000 руб.,80000,,руб.
"Senior/Middle backend-разработчик (Python, Django)",https://hh.ru/vacancy/43298031?from=vacancy_search_result&query=python,150000 – 220000 руб.,150000,220000,руб.
Senior Python developer,https://hh.ru/vacancy/46327140?from=vacancy_search_result&query=python,от 200000 руб.,200000,,руб.
Senior Python developer,https://hh.ru/vacancy/41263186?from=vacancy_search_result&query=python,от 200000 руб.,200000,,руб.
Python Developer (Customization Blitz),https://hh.ru/vacancy/46247328?from=vacancy_search_result&query=python,,,,
Python разработчик,https://hh.ru/vacancy/46574600?from=vacancy_search_result&query=python,,,,
Data Scientist,https://hh.ru/vacancy/46012355?from=vacancy_search_result&query=python,3000 – 5000 USD,3000,5000,USD
Data Scientist senior,https://hh.ru/vacancy/46294118?from=vacancy_search_result&query=python,,,,
Python-разработчик,https://hh.ru/vacancy/46412759?from=vacancy_search_result&query=python,от 130000 руб.,130000,,руб.
Middle Python Developer,https://hh.ru/vacancy/45924294?from=vacancy_search_result&query=python,160000 – 200000 руб.,160000,200000,руб.
Python Developer,https://hh.ru/vacancy/45560000?from=vacancy_search_result&query=python,4000 – 6000 USD,4000,6000,USD
Machine Learning Engineer,https://hh.ru/vacancy/45860704?from=vacancy_search_result&query=python,200000 – 350000 руб.,200000,350000,руб.
"Machine Learning Researcher (Senior): CV,GAN",https://hh.ru/vacancy/46175188?from=vacancy_search_result&query=python,от 200000 руб.,200000,,руб.
Разработчик (Python/PHP),https://hh.ru/vacancy/45834844?from=vacancy_search_result&query=python,80000 – 120000 руб.,80000,120000,руб.
Старший AI/ML инженер,https://hh.ru/vacancy/46294311?from=vacancy_search_result&query=python,,,,
